City/town,Median annual household income
Dover,"$204,018 "
Weston,"$196,651 "
Wellesley,"$176,852 "
Sudbury,"$170,945 "
Sherborn,"$170,872 "
Carlisle,"$170,703 "
Wayland,"$166,893 "
Lexington,"$162,083 "
Boxford,"$155,034 "
Medfield,"$153,847 "
Winchester,"$152,196 "
Bolton,"$151,618 "
Hopkinton,"$151,357 "
Westwood,"$145,799 "
Stow,"$144,766 "
Andover,"$143,292 "
Southborough,"$142,426 "
Needham,"$141,690 "
Cohasset,"$140,000 "
Norfolk,"$139,137 "
Dunstable,"$138,700 "
Westford,"$138,006 "
Concord,"$137,743 "
West Newbury,"$135,882 "
Harvard,"$134,355 "
Lincoln,"$134,211 "
Newton,"$133,853 "
Acton,"$133,713 "
Sharon,"$132,734 "
Topsfield,"$131,387 "
Norwell,"$128,563 "
Princeton,"$128,006 "
Milton,"$126,000 "
Mendon,"$125,816 "
Bedford,"$125,208 "
Hingham,"$125,144 "
North Reading,"$124,750 "
Groton,"$123,918 "
Duxbury,"$123,613 "
Ashland,"$120,309 "
Upton,"$119,392 "
Littleton,"$119,177 "
Holliston,"$118,933 "
Wilmington,"$118,549 "
Belmont,"$118,370 "
Lynnfield,"$117,706 "
Medway,"$115,432 "
Reading,"$114,354 "
Georgetown,"$113,417 "
Longmeadow,"$112,831 "
Hamilton,"$112,250 "
Franklin,"$111,935 "
Northborough,"$111,875 "
Scituate,"$111,865 "
Hanover,"$111,311 "
Brookline,"$111,289 "
Mansfield,"$111,141 "
Marblehead,"$110,025 "
Essex,"$109,327 "
Walpole,"$107,956 "
Middleton,"$107,727 "
Westborough,"$107,604 "
Wrentham,"$107,444 "
Chelmsford,"$106,432 "
Natick,"$106,027 "
North Andover,"$105,661 "
Alford,"$105,625 "
Manchester,"$105,500 "
Easton,"$105,380 "
Swampscott,"$105,169 "
Wilbraham,"$104,491 "
Lancaster,"$104,331 "
Arlington,"$103,594 "
Rochester,"$103,472 "
Norton,"$102,869 "
Sterling,"$102,500 "
Holden,"$101,827 "
Hopedale,"$101,761 "
Pembroke,"$101,447 "
Sutton,"$101,315 "
Tyngsborough,"$101,303 "
Boxborough,"$101,077 "
Rutland,"$100,962 "
Shrewsbury,"$100,640 "
Grafton,"$100,605 "
Conway,"$100,398 "
Millis,"$100,230 "
Westminster,"$100,071 "
Billerica,"$99,453 "
Burlington,"$99,254 "
Foxborough,"$98,199 "
Lakeville,"$98,015 "
Richmond,"$97,917 "
Lunenburg,"$97,775 "
Berlin,"$97,417 "
Boylston,"$97,074 "
Wenham,"$96,979 "
Canton,"$96,583 "
Hanson,"$96,389 "
Rehoboth,"$96,098 "
Ashby,"$95,833 "
Maynard,"$95,833 "
Paxton,"$95,595 "
Bellingham,"$95,533 "
Groveland,"$95,031 "
Marshfield,"$94,737 "
Douglas,"$94,675 "
Uxbridge,"$94,656 "
Charlton,"$93,921 "
Plainville,"$93,889 "
Tewksbury,"$93,817 "
Melrose,"$93,434 "
Hubbardston,"$93,387 "
Watertown,"$93,171 "
Dighton,"$93,017 "
Wakefield,"$92,252 "
Pelham,"$92,250 "
West Tisbury,"$92,188 "
Raynham,"$91,944 "
Nantucket,"$91,942 "
Abington,"$91,643 "
Millville,"$90,500 "
Tolland,"$90,417 "
Stoneham,"$90,320 "
Pepperell,"$90,029 "
Newburyport,"$89,887 "
Kingston,"$89,796 "
Granby,"$89,752 "
Berkley,"$89,597 "
Dedham,"$89,514 "
Newbury,"$89,433 "
Southampton,"$89,423 "
Rowley,"$89,338 "
Cambridge,"$89,145 "
Braintree,"$88,993 "
Sandwich,"$88,870 "
Bridgewater,"$88,640 "
Norwood,"$87,516 "
Plympton,"$87,438 "
Leverett,"$87,174 "
North Attleborough,"$87,093 "
Dracut,"$86,697 "
Westhampton,"$86,591 "
East Bridgewater,"$86,568 "
Brimfield,"$86,523 "
Washington,"$86,389 "
Tyringham,"$86,250 "
Medford,"$86,204 "
Belchertown,"$86,165 "
Seekonk,"$86,014 "
Granville,"$86,000 "
Oakham,"$85,938 "
Mattapoisett,"$85,870 "
West Bridgewater,"$85,368 "
East Longmeadow,"$85,221 "
Ashburnham,"$85,064 "
Freetown,"$85,040 "
Sturbridge,"$84,745 "
Somerville,"$84,722 "
Townsend,"$84,630 "
New Ashford,"$84,583 "
New Braintree,"$84,432 "
Merrimac,"$84,417 "
Hudson,"$83,765 "
Plymouth,"$83,746 "
Woburn,"$83,304 "
Waltham,"$83,249 "
Saugus,"$82,188 "
Windsor,"$81,875 "
Nahant,"$81,384 "
