,Town,School Name,% Attending College,% High Needs,% Economically Disadvantaged,% Females,% Graduated,% AP_Score 3-5,SAP,% Dropped Out,Progress and Performance Index (PPI) - All Students,Average SAT,City/town,Median annual household income
0,Abington,Abington High,75.8,28.8,21.5,54.4,94.7,56.1,42.0,3.5,76.0,511.3333333333330,Abington,"91,643"
1,Agawam,Agawam High,81.6,32.0,22.7,48.0,94.2,66.4,41.0,3.7,65.0,495.0,Agawam,"61,919"
2,Amesbury,Amesbury High,72.6,25.9,14.6,46.5,93.9,81.0,53.0,1.2,67.0,527.6666666666670,Amesbury,"78,638"
3,Andover,Andover High,89.3,20.9,6.3,51.1,95.7,78.1,81.0,0.5,85.0,569.6666666666670,Andover,"143,292"
4,Arlington,Arlington High,85.0,20.7,10.3,50.9,98.1,86.1,73.0,1.3,79.0,583.0,Arlington,"103,594"
5,Ashland,Ashland High,87.7,22.8,10.3,51.2,95.1,94.6,89.0,1.1,94.0,551.6666666666670,Ashland,"120,309"
6,Attleboro,Attleboro High,74.3,35.5,25.6,45.8,91.0,61.9,30.0,4.1,75.0,496.0,Attleboro,"70,136"
7,Auburn,Auburn Senior High,79.1,23.8,15.2,51.9,96.9,46.8,45.0,0.6,67.0,490.0,Auburn,"74,174"
8,Avon,Avon Middle High School,87.8,34.8,23.8,51.4,83.3,37.0,29.0,6.3,60.0,466.3333333333330,Avon,"69,709"
9,Hyannis,Barnstable High,75.5,36.4,25.5,51.3,84.6,59.8,43.0,7.6,62.0,502.3333333333330,,
10,Bedford,Bedford High,91.5,22.7,7.8,49.4,95.2,91.6,87.0,1.4,80.0,562.6666666666670,Bedford,"125,208"
11,Belchertown,Belchertown High,89.9,22.1,13.5,49.7,91.6,85.0,84.0,2.2,95.0,539.6666666666670,Belchertown,"86,165"
12,Bellingham,Bellingham High School,70.1,31.7,15.6,45.5,94.3,50.0,64.0,0.6,82.0,504.3333333333330,Bellingham,"95,533"
13,Belmont,Belmont High,86.2,14.3,6.5,53.1,97.8,92.4,93.0,0.6,93.0,593.6666666666670,Belmont,"118,370"
14,Beverly,Beverly High,76.6,35.2,23.8,50.2,90.8,64.4,39.0,3.2,68.0,517.0,Beverly,"77,893"
15,Billerica,Billerica Memorial High School,76.3,26.7,15.2,50.1,92.4,69.4,47.0,3.5,69.0,525.6666666666670,Billerica,"99,453"
16,Hyde Park,Another Course To College,81.4,73.1,61.4,50.7,96.2,5.6,27.0,1.9,69.0,393.0,,
17,Boston,Boston Arts Academy,77.8,55.3,43.6,63.8,89.8,0.0,21.0,3.1,78.0,433.0,Boston,"62,021"
18,Hyde Park,Boston Community Leadership Academy,81.7,77.2,56.0,48.8,89.3,18.3,23.0,3.3,70.0,405.6666666666670,,
19,Boston,Boston Latin,94.1,20.8,15.7,54.9,98.1,82.7,96.0,0.2,97.0,630.0,Boston,"62,021"
20,Dorchester,Boston Latin Academy,92.0,36.6,31.7,58.1,96.9,50.3,91.0,0.8,92.0,536.6666666666670,,
21,Brighton,Brighton High,66.2,86.2,61.0,39.7,62.0,3.8,2.0,19.4,48.0,367.0,,
22,Charlestown,Charlestown High,65.5,87.4,62.9,39.9,53.9,26.0,9.0,19.8,65.0,376.0,,
23,Dorchester,Community Academy of Science and Health,52.7,86.6,66.8,46.0,75.7,4.3,6.0,3.6,52.0,350.3333333333330,,
